gps latitude,gps longitude,ssid,size
-33.91844,151.229032,12,20
-33.918428,151.228533,4,20
-33.918413,151.228129,11,20
-33.918408,151.227475,10,20
-33.918407,151.227914,9,20
-33.918405,151.226964,66,20
-33.918396,151.228185,6,20
-33.91839,151.227233,17,20
-33.918385,151.228644,11,20
-33.918384,151.228738,57,20
-33.918382,151.229025,8,20
-33.918378,151.228556,4,20
-33.91837,151.230943,32,20
-33.918361,151.226975,17,20
-33.918338,151.231545,4,20
-33.918331,151.226555,83,20
-33.918329,151.228583,4,20
-33.918319,151.231477,4,20
-33.918314,151.227826,19,20
-33.91831,151.231574,4,20
-33.918308,151.231581,6,20
-33.918305,151.231603,6,20
-33.918299,151.228056,14,20
-33.918289,151.23137,4,20
-33.918288,151.231625,4,20
-33.918284,151.231613,4,20
-33.918282,151.23175,4,20
-33.91828,151.228618,4,20
-33.918275,151.227928,7,20
-33.918272,151.226958,22,20
-33.918271,151.231694,5,20
-33.918266,151.231629,6,20
-33.918262,151.231303,2,20
-33.918262,151.231675,4,20
-33.918261,151.231533,3,20
-33.91826,151.228436,9,20
-33.918254,151.231462,5,20
-33.91825,151.23123,5,20
-33.918245,151.228623,4,20
-33.918245,151.230944,4,20
-33.918237,151.229135,8,20
-33.918223,151.230977,5,20
-33.918223,151.231206,4,20
-33.918222,151.228278,13,20
-33.918222,151.231766,4,20
-33.918209,151.228627,2,20
-33.918208,151.228238,8,20
-33.918206,151.230994,6,20
-33.918205,151.231036,38,20
-33.918203,151.231019,2,20
-33.918202,151.228087,84,20
-33.9182,151.231053,4,20
-33.918195,151.228112,41,20
-33.918194,151.228362,11,20
-33.918193,151.23075,17,20
-33.918181,151.228915,4,20
-33.918179,151.231141,2,20
-33.918178,151.229083,8,20
-33.918161,151.228658,2,20
-33.918154,151.23174,4,20
-33.91815,151.230998,3,20
-33.918136,151.231747,3,20
-33.918134,151.229172,10,20
-33.918134,151.231461,2,20
-33.91813,151.231346,2,20
-33.918129,151.231635,4,20
-33.918128,151.231105,4,20
-33.918125,151.231599,2,20
-33.918124,151.231083,5,20
-33.918123,151.231914,4,20
-33.91812,151.231518,4,20
-33.918115,151.232119,4,20
-33.918112,151.231231,2,20
-33.91811,151.228065,7,20
-33.91811,151.231423,4,20
-33.918105,151.231851,6,20
-33.918102,151.226905,21,20
-33.918095,151.231341,5,20
-33.918092,151.227229,9,20
-33.91809,151.230901,3,20
-33.918086,151.232153,5,20
-33.918082,151.23216,6,20
-33.918071,151.231706,14,20
-33.918067,151.227034,32,20
-33.918064,151.231324,4,20
-33.918064,151.232151,4,20
-33.918056,151.231937,5,20
-33.918054,151.227554,9,20
-33.918053,151.228196,13,20
-33.918052,151.231209,3,20
-33.918047,151.231125,3,20
-33.918046,151.227193,50,20
-33.918045,151.228785,26,20
-33.918044,151.231949,7,20
-33.918042,151.232089,4,20
-33.918038,151.229166,10,20
-33.918033,151.231085,28,20
-33.91803,151.231017,3,20
-33.918028,151.227305,10,20
-33.918025,151.228745,11,20
-33.918024,151.230858,4,20
-33.918022,151.231967,4,20
-33.918009,151.231737,5,20
-33.918009,151.231896,4,20
-33.918003,151.23084,3,20
-33.917998,151.229106,4,20
-33.917997,151.231968,5,20
-33.917994,151.228206,12,20
-33.917993,151.231506,5,20
-33.917989,151.231812,5,20
-33.917985,151.230911,3,20
-33.917978,151.231768,4,20
-33.917969,151.231415,13,20
-33.917966,151.231606,4,20
-33.917963,151.231723,7,20
-33.917959,151.231299,5,20
-33.917958,151.227628,18,20
-33.917953,151.227574,11,20
-33.917952,151.231965,4,20
-33.91795,151.227191,30,20
-33.917946,151.231476,5,20
-33.917943,151.227182,86,20
-33.917943,151.22856,8,20
-33.917942,151.23163,4,20
-33.91794,151.231289,5,20
-33.917939,151.229243,6,20
-33.917939,151.231488,4,20
-33.917937,151.228993,4,20
-33.917936,151.232119,4,20
-33.917934,151.231241,5,20
-33.917932,151.231532,3,20
-33.917929,151.232118,4,20
-33.917927,151.227396,56,20
-33.917927,151.231755,22,20
-33.917926,151.231512,4,20
-33.917917,151.230923,7,20
-33.917912,151.230613,13,20
-33.917911,151.231184,5,20
-33.91791,151.227274,45,20
-33.917906,151.230506,11,20
-33.917904,151.230943,8,20
-33.917902,151.231593,4,20
-33.91789,151.228395,8,20
-33.91787,151.231259,5,20
-33.917868,151.22813,51,20
-33.917865,151.229266,6,20
-33.917864,151.23104,44,20
-33.917858,151.227591,5,20
-33.917848,151.227436,10,20
-33.917846,151.22855,11,20
-33.917843,151.229114,4,20
-33.917826,151.227474,30,20
-33.917817,151.230238,33,20
-33.917814,151.228187,4,20
-33.917805,151.228344,28,20
-33.917785,151.230051,24,20
-33.917782,151.229511,7,20
-33.917773,151.229275,4,20
-33.917773,151.230878,23,20
-33.917767,151.227856,4,20
-33.917767,151.229968,16,20
-33.917759,151.228916,4,20
-33.917759,151.229934,6,20
-33.91775,151.230566,5,20
-33.917739,151.228984,4,20
-33.917732,151.227858,36,20
-33.917732,151.228551,14,20
-33.917728,151.228783,12,20
-33.917726,151.228641,8,20
-33.91772,151.228923,4,20
-33.917715,151.229693,22,20
-33.917714,151.229282,4,20
-33.917693,151.230266,7,20
-33.917692,151.228794,12,20
-33.917692,151.229837,6,20
-33.917689,151.229175,3,20
-33.917679,151.227655,5,20
-33.917662,151.228903,4,20
-33.917655,151.229249,4,20
-33.917653,151.229252,4,20
-33.91765,151.227922,8,20
-33.917647,151.228441,11,20
-33.917641,151.227668,44,20
-33.917632,151.229197,4,20
-33.917631,151.229065,4,20
-33.917628,151.228997,6,20
-33.917627,151.229097,4,20
-33.917624,151.229017,4,20
-33.917615,151.228928,4,20
-33.91761,151.22852,32,20
-33.9176,151.22726,47,20
-33.917572,151.229221,21,20
-33.917568,151.228635,25,20
-33.917558,151.229313,5,20
-33.91754,151.228272,28,20
-33.917539,151.227617,6,20
-33.917534,151.227921,8,20
-33.917532,151.227918,22,20
-33.917528,151.227706,20,20
-33.917521,151.228893,20,20
-33.9175,151.228591,19,20
-33.917498,151.228717,27,20
-33.917491,151.228375,6,20
-33.917458,151.228169,20,20
-33.917456,151.228756,2,20
-33.917449,151.227531,10,20
-33.917435,151.22747,16,20
-33.917414,151.227393,7,20
-33.917412,151.227911,5,20
-33.917404,151.227072,19,20
-33.917391,151.228016,1,20
-33.917353,151.227228,15,20
-33.917317,151.227298,20,20
-33.917315,151.227497,6,20
-33.917312,151.226909,34,20
-33.917299,151.226747,4,20
-33.917294,151.227325,6,20
-33.917294,151.227645,2,20
-33.917278,151.227015,4,20
-33.917276,151.227356,4,20
-33.917271,151.226579,66,20
-33.917259,151.226595,14,20
-33.917246,151.227064,6,20
-33.917234,151.226657,4,20
-33.91722,151.226299,4,20
-33.91721,151.22681,5,20
-33.917187,151.226442,63,20
-33.917183,151.226288,7,20
-33.91717,151.226457,6,20
-33.91715,151.226468,15,20
-33.916302,151.227467,19,20
