gps latitude,gps longitude,ssid,size
-33.917767,151.229968,13,20
-33.917759,151.228916,3,20
-33.917759,151.229934,5,20
-33.91775,151.230566,6,20
-33.917739,151.228984,6,20
-33.917732,151.227858,9,20
-33.917732,151.228551,6,20
-33.917728,151.228783,5,20
-33.917726,151.228641,5,20
-33.91772,151.228923,3,20
-33.917715,151.229693,7,20
-33.917714,151.229282,3,20
-33.917693,151.230266,6,20
-33.917692,151.228794,6,20
-33.917692,151.229837,8,20
-33.917689,151.229175,6,20
-33.917679,151.227655,5,20
-33.917672,151.229221,1,20
-33.917662,151.228903,3,20
-33.917655,151.229249,3,20
-33.917653,151.229252,3,20
-33.91765,151.227922,5,20
-33.917647,151.228441,5,20
-33.917641,151.227668,17,20
-33.917632,151.229197,3,20
-33.917631,151.229065,6,20
-33.917628,151.228997,6,20
-33.917627,151.229097,3,20
-33.917624,151.229017,3,20
-33.917615,151.228928,3,20
-33.91761,151.22852,27,20
-33.9176,151.22726,7,20
-33.917572,151.229221,12,20
-33.917568,151.228635,21,20
-33.917558,151.229313,8,20
-33.91754,151.228272,11,20
-33.917539,151.227617,5,20
-33.917534,151.227921,7,20
-33.917532,151.227918,9,20
-33.917528,151.227706,13,20
-33.917521,151.228893,11,20
-33.9175,151.228591,10,20
-33.917498,151.228717,17,20
-33.917491,151.228375,6,20
-33.917458,151.228169,7,20
-33.917456,151.228756,6,20
-33.91745,151.228334,4,20
-33.917449,151.227531,6,20
-33.917435,151.22747,8,20
-33.917414,151.227393,7,20
-33.917412,151.227911,4,20
-33.917404,151.227072,13,20
-33.917391,151.228016,4,20
-33.917353,151.227228,16,20
-33.917317,151.227298,4,20
-33.917315,151.227497,5,20
-33.917312,151.226909,4,20
-33.917299,151.226747,5,20
-33.917294,151.227325,5,20
-33.917294,151.227645,5,20
-33.917278,151.227015,5,20
-33.917276,151.227356,5,20
-33.917271,151.226579,11,20
-33.917259,151.226595,9,20
-33.917246,151.227064,5,20
-33.917234,151.226657,5,20
-33.91722,151.226299,5,20
-33.91721,151.22681,5,20
-33.917187,151.226442,16,20
-33.917183,151.226288,5,20
-33.91717,151.226457,6,20
-33.91715,151.226468,12,20
-33.916302,151.227467,6,20
