,Date, Signal(dBm), Noise(dBm), Channel, Security, Mode,SSID,BSSID,Unnamed: 6
111,11/10/2566 BE 17:30:51, -81, -94, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
112,11/10/2566 BE 17:30:11, -89, -92, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
113,11/10/2566 BE 17:29:58, -89, -92, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
114,11/10/2566 BE 17:29:45, -89, -92, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
115,11/10/2566 BE 17:29:32, -87, -94, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
116,11/10/2566 BE 17:29:19, -86, -93, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
117,11/10/2566 BE 17:29:06, -86, -93, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
118,11/10/2566 BE 17:28:56, -83, -94, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
119,11/10/2566 BE 17:28:43, -83, -94, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
120,11/10/2566 BE 17:28:32, -87, -93, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
121,11/10/2566 BE 17:28:19, -82, -95, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
122,11/10/2566 BE 17:28:06, -91, -94, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
123,11/10/2566 BE 17:27:53, -91, -94, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
124,11/10/2566 BE 17:27:41, -91, -94, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
125,11/10/2566 BE 17:27:28, -80, -94, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
126,11/10/2566 BE 17:27:15, -80, -94, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
127,11/10/2566 BE 17:27:02, -80, -94, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
128,11/10/2566 BE 17:26:50, -80, -95, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
129,11/10/2566 BE 17:26:36, -83, -93, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
130,11/10/2566 BE 17:20:21, -91, -96, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
131,11/10/2566 BE 17:20:09, -91, -96, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
132,11/10/2566 BE 17:19:57, -91, -96, 52, WPA2-Enterprise, ac,Global_Students ,1C-E6-C7-3E-DA-B3,
133,11/10/2566 BE 17:18:55, -81, -95, 64, Open, ac,UNSW Guest ,08-CC-68-B4-DC-1C,
134,11/10/2566 BE 17:18:42, -81, -95, 64, Open, ac,UNSW Guest ,08-CC-68-B4-DC-1C,
135,11/10/2566 BE 17:18:29, -81, -95, 64, Open, ac,UNSW Guest ,08-CC-68-B4-DC-1C,
136,11/10/2566 BE 17:18:14, -87, -94, 64, Open, ac,UNSW Guest ,08-CC-68-B4-DC-1C,
137,11/10/2566 BE 17:18:01, -87, -94, 64, Open, ac,UNSW Guest ,08-CC-68-B4-DC-1C,
138,11/10/2566 BE 17:17:48, -82, -94, 64, Open, ac,UNSW Guest ,08-CC-68-B4-DC-1C,
139,11/10/2566 BE 17:17:35, -90, -93, 64, Open, ac,UNSW Guest ,08-CC-68-B4-DC-1C,
140,11/10/2566 BE 17:39:11, -86, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-A1-1B,
141,11/10/2566 BE 17:38:58, -86, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-A1-1B,
142,11/10/2566 BE 17:38:46, -86, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-A1-1B,
143,11/10/2566 BE 17:32:15, -89, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-A1-1B,
144,11/10/2566 BE 17:31:59, -89, -95, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-A1-1B,
145,11/10/2566 BE 17:31:45, -84, -96, 112, WPA2-Enterprise, ac,Global_Students ,08-CC-68-B4-A1-1B,
146,11/10/2566 BE 17:42:39, -83, -96, 64, WPA2-Enterprise, ac,eduroam ,A8-9D-21-71-BA-BF,
147,11/10/2566 BE 17:42:26, -84, -95, 64, WPA2-Enterprise, ac,eduroam ,A8-9D-21-71-BA-BF,
148,11/10/2566 BE 17:41:20, -72, -77, 6, WPA2-Enterprise, g/n,eduroam ,D0-72-DC-53-63-31,
149,11/10/2566 BE 17:41:07, -72, -77, 6, WPA2-Enterprise, g/n,eduroam ,D0-72-DC-53-63-31,
150,11/10/2566 BE 17:25:58, -71, -80, 6, WPA2-Enterprise, g/n,eduroam ,D0-72-DC-53-63-31,
151,11/10/2566 BE 17:25:46, -71, -80, 6, WPA2-Enterprise, g/n,eduroam ,D0-72-DC-53-63-31,
152,11/10/2566 BE 17:25:33, -71, -80, 6, WPA2-Enterprise, g/n,eduroam ,D0-72-DC-53-63-31,
153,11/10/2566 BE 17:17:35, -92, -95, 112, WPA2-Enterprise, ac,Global_Students ,A0-0F-37-4C-93-2B,
154,11/10/2566 BE 17:17:22, -92, -95, 112, WPA2-Enterprise, ac,Global_Students ,A0-0F-37-4C-93-2B,
155,11/10/2566 BE 17:17:10, -92, -95, 112, WPA2-Enterprise, ac,Global_Students ,A0-0F-37-4C-93-2B,
156,11/10/2566 BE 17:16:57, -86, -95, 112, WPA2-Enterprise, ac,Global_Students ,A0-0F-37-4C-93-2B,
157,11/10/2566 BE 17:16:44, -86, -95, 112, WPA2-Enterprise, ac,Global_Students ,A0-0F-37-4C-93-2B,
158,11/10/2566 BE 17:16:34, -88, -96, 112, WPA2-Enterprise, ac,Global_Students ,A0-0F-37-4C-93-2B,
159,11/10/2566 BE 17:16:21, -85, -95, 112, WPA2-Enterprise, ac,Global_Students ,A0-0F-37-4C-93-2B,
160,11/10/2566 BE 17:16:09, -85, -95, 112, WPA2-Enterprise, ac,Global_Students ,A0-0F-37-4C-93-2B,
161,11/10/2566 BE 17:15:56, -89, -95, 112, WPA2-Enterprise, ac,Global_Students ,A0-0F-37-4C-93-2B,
162,11/10/2566 BE 17:15:43, -78, -96, 112, WPA2-Enterprise, ac,Global_Students ,A0-0F-37-4C-93-2B,
163,11/10/2566 BE 17:15:31, -89, -96, 112, WPA2-Enterprise, ac,Global_Students ,A0-0F-37-4C-93-2B,
164,11/10/2566 BE 17:40:41, -88, -93, 104, Open, ac,_Superloop-NewCollege5Ghz ,D8-38-FC-DF-12-CC,
165,11/10/2566 BE 17:40:28, -88, -93, 104, Open, ac,_Superloop-NewCollege5Ghz ,D8-38-FC-DF-12-CC,
166,11/10/2566 BE 17:40:16, -88, -93, 104, Open, ac,_Superloop-NewCollege5Ghz ,D8-38-FC-DF-12-CC,
167,11/10/2566 BE 17:40:03, -83, -96, 104, Open, ac,_Superloop-NewCollege5Ghz ,D8-38-FC-DF-12-CC,
168,11/10/2566 BE 17:27:02, -85, -93, 104, Open, ac,_Superloop-NewCollege5Ghz ,D8-38-FC-DF-12-CC,
169,11/10/2566 BE 17:26:50, -85, -93, 104, Open, ac,_Superloop-NewCollege5Ghz ,D8-38-FC-DF-12-CC,
170,11/10/2566 BE 17:26:36, -85, -93, 104, Open, ac,_Superloop-NewCollege5Ghz ,D8-38-FC-DF-12-CC,
171,11/10/2566 BE 17:26:23, -86, -92, 104, Open, ac,_Superloop-NewCollege5Ghz ,D8-38-FC-DF-12-CC,
172,11/10/2566 BE 17:26:11, -85, -94, 104, Open, ac,_Superloop-NewCollege5Ghz ,D8-38-FC-DF-12-CC,
173,11/10/2566 BE 17:25:58, -85, -94, 104, Open, ac,_Superloop-NewCollege5Ghz ,D8-38-FC-DF-12-CC,
174,11/10/2566 BE 17:25:46, -85, -94, 104, Open, ac,_Superloop-NewCollege5Ghz ,D8-38-FC-DF-12-CC,
175,11/10/2566 BE 17:24:55, -88, -95, 104, Open, ac,_Superloop-NewCollege5Ghz ,D8-38-FC-DF-12-CC,
176,11/10/2566 BE 17:24:42, -88, -95, 104, Open, ac,_Superloop-NewCollege5Ghz ,D8-38-FC-DF-12-CC,
177,11/10/2566 BE 17:24:29, -88, -95, 104, Open, ac,_Superloop-NewCollege5Ghz ,D8-38-FC-DF-12-CC,
178,11/10/2566 BE 17:24:16, -86, -95, 104, Open, ac,_Superloop-NewCollege5Ghz ,D8-38-FC-DF-12-CC,
179,11/10/2566 BE 17:31:59, -92, -96, 100, WPA2-Enterprise, ac,[Hidden SSID] ,08-CC-68-B5-ED-2D,
180,11/10/2566 BE 17:31:45, -92, -96, 100, WPA2-Enterprise, ac,[Hidden SSID] ,08-CC-68-B5-ED-2D,
181,11/10/2566 BE 17:39:51, -90, -92, 48, WPA2-Enterprise, ac,eduroam ,58-97-1E-56-47-97,
182,11/10/2566 BE 17:39:38, -90, -92, 48, WPA2-Enterprise, ac,eduroam ,58-97-1E-56-47-97,
